Header Size:  7
Version:  2
Sampling Interval:  0.005
Sampling Rate:  200
Sample Count:  32600
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, Events
       175,   04/29/2022 11:56:21.569 AM, 0.0320, -2.9931
       176,   04/29/2022 11:56:21.574 AM, 0.0320, -2.9931
       177,   04/29/2022 11:56:21.579 AM, 0.0320, -2.9934
       178,   04/29/2022 11:56:21.584 AM, 0.0351, -2.9934
       179,   04/29/2022 11:56:21.589 AM, 0.0320, -2.9934
       180,   04/29/2022 11:56:21.594 AM, 0.0290, -2.9934
       181,   04/29/2022 11:56:21.599 AM, 0.0320, -2.9934
       182,   04/29/2022 11:56:21.604 AM, 0.0351, -2.9934
       183,   04/29/2022 11:56:21.609 AM, 0.0320, -2.9931
       184,   04/29/2022 11:56:21.614 AM, 0.0320, -2.9934
       185,   04/29/2022 11:56:21.619 AM, 0.0320, -2.9934
       186,   04/29/2022 11:56:21.624 AM, 0.0320, -2.9931
       187,   04/29/2022 11:56:21.629 AM, 0.0320, -2.9934
       188,   04/29/2022 11:56:21.634 AM, 0.0320, -2.9934
       189,   04/29/2022 11:56:21.639 AM, 0.0320, -2.9931
       190,   04/29/2022 11:56:21.644 AM, 0.0320, -2.9934
       191,   04/29/2022 11:56:21.649 AM, 0.0320, -2.9931
       192,   04/29/2022 11:56:21.654 AM, 0.0320, -2.9934
       193,   04/29/2022 11:56:21.659 AM, 0.0320, -2.9931
       194,   04/29/2022 11:56:21.664 AM, 0.0290, -2.9934
       195,   04/29/2022 11:56:21.669 AM, 0.0290, -2.9931
       196,   04/29/2022 11:56:21.674 AM, 0.0290, -2.9934
       197,   04/29/2022 11:56:21.679 AM, 0.0320, -2.9934
       198,   04/29/2022 11:56:21.684 AM, 0.0320, -2.9934
       199,   04/29/2022 11:56:21.689 AM, 0.0351, -2.9934
       200,   04/29/2022 11:56:21.694 AM, 0.0320, -2.9934
       201,   04/29/2022 11:56:21.699 AM, 0.0320, -2.9934
       202,   04/29/2022 11:56:21.704 AM, 0.0290, -2.9934
       203,   04/29/2022 11:56:21.709 AM, 0.0290, -2.9931
       204,   04/29/2022 11:56:21.714 AM, 0.0320, -2.9934
       205,   04/29/2022 11:56:21.719 AM, 0.0290, -2.9934
       206,   04/29/2022 11:56:21.724 AM, 0.0290, -2.9931
       207,   04/29/2022 11:56:21.729 AM, 0.0320, -2.9931
       208,   04/29/2022 11:56:21.734 AM, 0.0320, -2.9934
       209,   04/29/2022 11:56:21.739 AM, 0.0290, -2.9934
       210,   04/29/2022 11:56:21.744 AM, 0.0290, -2.9934
       211,   04/29/2022 11:56:21.749 AM, 0.0290, -2.9934
       212,   04/29/2022 11:56:21.754 AM, 0.0290, -2.9934
       213,   04/29/2022 11:56:21.759 AM, 0.0320, -2.9934
       214,   04/29/2022 11:56:21.764 AM, 0.0320, -2.9931
       215,   04/29/2022 11:56:21.769 AM, 0.0290, -2.9931
       216,   04/29/2022 11:56:21.774 AM, 0.0320, -2.9931
       217,   04/29/2022 11:56:21.779 AM, 0.0290, -2.9934
       218,   04/29/2022 11:56:21.784 AM, 0.0320, -2.9934
       219,   04/29/2022 11:56:21.789 AM, 0.0290, -2.9931
       220,   04/29/2022 11:56:21.794 AM, 0.0259, -2.9934
       221,   04/29/2022 11:56:21.799 AM, 0.0320, -2.9934
       222,   04/29/2022 11:56:21.804 AM, 0.0290, -2.9934
       223,   04/29/2022 11:56:21.809 AM, 0.0320, -2.9934
       224,   04/29/2022 11:56:21.814 AM, 0.0320, -2.9931
       225,   04/29/2022 11:56:21.819 AM, 0.0290, -2.9931
       226,   04/29/2022 11:56:21.824 AM, 0.0290, -2.9934
       227,   04/29/2022 11:56:21.829 AM, 0.0290, -2.9931
       228,   04/29/2022 11:56:21.834 AM, 0.0320, -2.9934
       229,   04/29/2022 11:56:21.839 AM, 0.0290, -2.9934
       230,   04/29/2022 11:56:21.844 AM, 0.0320, -2.9934
       231,   04/29/2022 11:56:21.849 AM, 0.0290, -2.9931
       232,   04/29/2022 11:56:21.854 AM, 0.0290, -2.9934
       233,   04/29/2022 11:56:21.859 AM, 0.0290, -2.9934
       234,   04/29/2022 11:56:21.864 AM, 0.0290, -2.9934
       235,   04/29/2022 11:56:21.869 AM, 0.0290, -2.9931
       236,   04/29/2022 11:56:21.874 AM, 0.0290, -2.9934
       237,   04/29/2022 11:56:21.879 AM, 0.0290, -2.9934
       238,   04/29/2022 11:56:21.884 AM, 0.0320, -2.9934
       239,   04/29/2022 11:56:21.889 AM, 0.0320, -2.9934
       240,   04/29/2022 11:56:21.894 AM, 0.0320, -2.9931
       241,   04/29/2022 11:56:21.899 AM, 0.0290, -2.9931
       242,   04/29/2022 11:56:21.904 AM, 0.0320, -2.9931
       243,   04/29/2022 11:56:21.909 AM, 0.0320, -2.9934
       244,   04/29/2022 11:56:21.914 AM, 0.0290, -2.9931
       245,   04/29/2022 11:56:21.919 AM, 0.0290, -2.9934
       246,   04/29/2022 11:56:21.924 AM, 0.0259, -2.9931
       247,   04/29/2022 11:56:21.929 AM, 0.0290, -2.9934
       248,   04/29/2022 11:56:21.934 AM, 0.0290, -2.9934
       249,   04/29/2022 11:56:21.939 AM, 0.0320, -2.9934
       250,   04/29/2022 11:56:21.944 AM, 0.0290, -2.9931
       251,   04/29/2022 11:56:21.949 AM, 0.0320, -2.9934
       252,   04/29/2022 11:56:21.954 AM, 0.0290, -2.9934
       253,   04/29/2022 11:56:21.959 AM, 0.0259, -2.9934
       254,   04/29/2022 11:56:21.964 AM, 0.0320, -2.9934
       255,   04/29/2022 11:56:21.969 AM, 0.0290, -2.9934
       256,   04/29/2022 11:56:21.974 AM, 0.0320, -2.9934
       257,   04/29/2022 11:56:21.979 AM, 0.0290, -2.9934
       258,   04/29/2022 11:56:21.984 AM, 0.0259, -2.9934
       259,   04/29/2022 11:56:21.989 AM, 0.0320, -2.9934
       260,   04/29/2022 11:56:21.994 AM, 0.0290, -2.9931
       261,   04/29/2022 11:56:21.999 AM, 0.0290, -2.9931
       262,   04/29/2022 11:56:22.004 AM, 0.0320, -2.9934
       263,   04/29/2022 11:56:22.009 AM, 0.0290, -2.9934
       264,   04/29/2022 11:56:22.014 AM, 0.0290, -2.9931
       265,   04/29/2022 11:56:22.019 AM, 0.0320, -2.9931
       266,   04/29/2022 11:56:22.024 AM, 0.0290, -2.9934
       267,   04/29/2022 11:56:22.029 AM, 0.0290, -2.9934
       268,   04/29/2022 11:56:22.034 AM, 0.0320, -2.9931
       269,   04/29/2022 11:56:22.039 AM, 0.0320, -2.9931
       270,   04/29/2022 11:56:22.044 AM, 0.0290, -2.9934
       271,   04/29/2022 11:56:22.049 AM, 0.0320, -2.9931
       272,   04/29/2022 11:56:22.054 AM, 0.0320, -2.9931
       273,   04/29/2022 11:56:22.059 AM, 0.0290, -2.9937
       274,   04/29/2022 11:56:22.064 AM, 0.0320, -2.9934
       275,   04/29/2022 11:56:22.069 AM, 0.0290, -2.9931
       276,   04/29/2022 11:56:22.074 AM, 0.0290, -2.9931
       277,   04/29/2022 11:56:22.079 AM, 0.0320, -2.9934
       278,   04/29/2022 11:56:22.084 AM, 0.0290, -2.9934
       279,   04/29/2022 11:56:22.089 AM, 0.0320, -2.9931
       280,   04/29/2022 11:56:22.094 AM, 0.0290, -2.9934
       281,   04/29/2022 11:56:22.099 AM, 0.0259, -2.9934
       282,   04/29/2022 11:56:22.104 AM, 0.0320, -2.9934
       283,   04/29/2022 11:56:22.109 AM, 0.0351, -2.9931
       284,   04/29/2022 11:56:22.114 AM, 0.0290, -2.9931
       285,   04/29/2022 11:56:22.119 AM, 0.0290, -2.9931
       286,   04/29/2022 11:56:22.124 AM, 0.0320, -2.9934
       287,   04/29/2022 11:56:22.129 AM, 0.0290, -2.9931
       288,   04/29/2022 11:56:22.134 AM, 0.0320, -2.9934
       289,   04/29/2022 11:56:22.139 AM, 0.0290, -2.9934
       290,   04/29/2022 11:56:22.144 AM, 0.0290, -2.9931
       291,   04/29/2022 11:56:22.149 AM, 0.0320, -2.9934
       292,   04/29/2022 11:56:22.154 AM, 0.0290, -2.9934
       293,   04/29/2022 11:56:22.159 AM, 0.0259, -2.9931
       294,   04/29/2022 11:56:22.164 AM, 0.0290, -2.9934
       295,   04/29/2022 11:56:22.169 AM, 0.0259, -2.9934
       296,   04/29/2022 11:56:22.174 AM, 0.0290, -2.9934
       297,   04/29/2022 11:56:22.179 AM, 0.0320, -2.9931
       298,   04/29/2022 11:56:22.184 AM, 0.0259, -2.9931
       299,   04/29/2022 11:56:22.189 AM, 0.0290, -2.9934
       300,   04/29/2022 11:56:22.194 AM, 0.0320, -2.9934
       301,   04/29/2022 11:56:22.199 AM, 0.0259, -2.9937
       302,   04/29/2022 11:56:22.204 AM, 0.0259, -2.9934
       303,   04/29/2022 11:56:22.209 AM, 0.0290, -2.9931
       304,   04/29/2022 11:56:22.214 AM, 0.0290, -2.9931
       305,   04/29/2022 11:56:22.219 AM, 0.0259, -2.9934
       306,   04/29/2022 11:56:22.224 AM, 0.0290, -2.9931
       307,   04/29/2022 11:56:22.229 AM, 0.0290, -2.9934
       308,   04/29/2022 11:56:22.234 AM, 0.0290, -2.9931
       309,   04/29/2022 11:56:22.239 AM, 0.0290, -2.9934
       310,   04/29/2022 11:56:22.244 AM, 0.0259, -2.9934
       311,   04/29/2022 11:56:22.249 AM, 0.0259, -2.9931
       312,   04/29/2022 11:56:22.254 AM, 0.0290, -2.9934
       313,   04/29/2022 11:56:22.259 AM, 0.0259, -2.9934
       314,   04/29/2022 11:56:22.264 AM, 0.0290, -2.9931
       315,   04/29/2022 11:56:22.269 AM, 0.0259, -2.9934
       316,   04/29/2022 11:56:22.274 AM, 0.0290, -2.9934
       317,   04/29/2022 11:56:22.279 AM, 0.0290, -2.9931
       318,   04/29/2022 11:56:22.284 AM, 0.0259, -2.9934
       319,   04/29/2022 11:56:22.289 AM, 0.0259, -2.9931
       320,   04/29/2022 11:56:22.294 AM, 0.0290, -2.9934
       321,   04/29/2022 11:56:22.299 AM, 0.0290, -2.9934
       322,   04/29/2022 11:56:22.304 AM, 0.0290, -2.9934
       323,   04/29/2022 11:56:22.309 AM, 0.0290, -2.9931
       324,   04/29/2022 11:56:22.314 AM, 0.0259, -2.9934
       325,   04/29/2022 11:56:22.319 AM, 0.0259, -2.9934
       326,   04/29/2022 11:56:22.324 AM, 0.0290, -2.9931
       327,   04/29/2022 11:56:22.329 AM, 0.0290, -2.9931
       328,   04/29/2022 11:56:22.334 AM, 0.0290, -2.9934
       329,   04/29/2022 11:56:22.339 AM, 0.0290, -2.9934
       330,   04/29/2022 11:56:22.344 AM, 0.0290, -2.9934
       331,   04/29/2022 11:56:22.349 AM, 0.0290, -2.9934
       332,   04/29/2022 11:56:22.354 AM, 0.0259, -2.9934
       333,   04/29/2022 11:56:22.359 AM, 0.0320, -2.9934
       334,   04/29/2022 11:56:22.364 AM, 0.0290, -2.9934
       335,   04/29/2022 11:56:22.369 AM, 0.0290, -2.9934
       336,   04/29/2022 11:56:22.374 AM, 0.0259, -2.9931
       337,   04/29/2022 11:56:22.379 AM, 0.0259, -2.9931
       338,   04/29/2022 11:56:22.384 AM, 0.0259, -2.9934
       339,   04/29/2022 11:56:22.389 AM, 0.0259, -2.9931
       340,   04/29/2022 11:56:22.394 AM, 0.0290, -2.9934
       341,   04/29/2022 11:56:22.399 AM, 0.0259, -2.9934
       342,   04/29/2022 11:56:22.404 AM, 0.0259, -2.9934
       343,   04/29/2022 11:56:22.409 AM, 0.0259, -2.9934
       344,   04/29/2022 11:56:22.414 AM, 0.0259, -2.9934
       345,   04/29/2022 11:56:22.419 AM, 0.0198, -2.9934
       346,   04/29/2022 11:56:22.424 AM, 0.0290, -2.9931
       347,   04/29/2022 11:56:22.429 AM, 0.0259, -2.9934
       348,   04/29/2022 11:56:22.434 AM, 0.0290, -2.9934
       349,   04/29/2022 11:56:22.439 AM, 0.0290, -2.9934
       350,   04/29/2022 11:56:22.444 AM, 0.0259, -2.9931
       351,   04/29/2022 11:56:22.449 AM, 0.0198, -2.9934
       352,   04/29/2022 11:56:22.454 AM, 0.0259, -2.9931
       353,   04/29/2022 11:56:22.459 AM, 0.0290, -2.9934
       354,   04/29/2022 11:56:22.464 AM, 0.0290, -2.9934
       355,   04/29/2022 11:56:22.469 AM, 0.0290, -2.9934
       356,   04/29/2022 11:56:22.474 AM, 0.0259, -2.9931
       357,   04/29/2022 11:56:22.479 AM, 0.0290, -2.9934
       358,   04/29/2022 11:56:22.484 AM, 0.0320, -2.9934
       359,   04/29/2022 11:56:22.489 AM, 0.0259, -2.9931
       360,   04/29/2022 11:56:22.494 AM, 0.0259, -2.9934
       361,   04/29/2022 11:56:22.499 AM, 0.0259, -2.9931
       362,   04/29/2022 11:56:22.504 AM, 0.0259, -2.9931
       363,   04/29/2022 11:56:22.509 AM, 0.0259, -2.9934
       364,   04/29/2022 11:56:22.514 AM, 0.0290, -2.9934
       365,   04/29/2022 11:56:22.519 AM, 0.0290, -2.9934
       366,   04/29/2022 11:56:22.524 AM, 0.0290, -2.9934
       367,   04/29/2022 11:56:22.529 AM, 0.0290, -2.9934
       368,   04/29/2022 11:56:22.534 AM, 0.0290, -2.9934
       369,   04/29/2022 11:56:22.539 AM, 0.0290, -2.9934
       370,   04/29/2022 11:56:22.544 AM, 0.0290, -2.9934
       371,   04/29/2022 11:56:22.549 AM, 0.0290, -2.9934
       372,   04/29/2022 11:56:22.554 AM, 0.0290, -2.9931
       373,   04/29/2022 11:56:22.559 AM, 0.0320, -2.9934
       374,   04/29/2022 11:56:22.564 AM, 0.0290, -2.9937
       375,   04/29/2022 11:56:22.569 AM, 0.0259, -2.9931
       376,   04/29/2022 11:56:22.574 AM, 0.0259, -2.9934
       377,   04/29/2022 11:56:22.579 AM, 0.0290, -2.9934
       378,   04/29/2022 11:56:22.584 AM, 0.0290, -2.9934
       379,   04/29/2022 11:56:22.589 AM, 0.0259, -2.9934
       380,   04/29/2022 11:56:22.594 AM, 0.0290, -2.9934
       381,   04/29/2022 11:56:22.599 AM, 0.0290, -2.9934
       382,   04/29/2022 11:56:22.604 AM, 0.0290, -2.9934
       383,   04/29/2022 11:56:22.609 AM, 0.0290, -2.9934
       384,   04/29/2022 11:56:22.614 AM, 0.0290, -2.9934
       385,   04/29/2022 11:56:22.619 AM, 0.0259, -2.9934
       386,   04/29/2022 11:56:22.624 AM, 0.0259, -2.9934
       387,   04/29/2022 11:56:22.629 AM, 0.0290, -2.9934
       388,   04/29/2022 11:56:22.634 AM, 0.0290, -2.9934
       389,   04/29/2022 11:56:22.639 AM, 0.0290, -2.9934
       390,   04/29/2022 11:56:22.644 AM, 0.0290, -2.9934
       391,   04/29/2022 11:56:22.649 AM, 0.0290, -2.9934
       392,   04/29/2022 11:56:22.654 AM, 0.0259, -2.9934
       393,   04/29/2022 11:56:22.659 AM, 0.0290, -2.9934
       394,   04/29/2022 11:56:22.664 AM, 0.0290, -2.9931
       395,   04/29/2022 11:56:22.669 AM, 0.0259, -2.9934
       396,   04/29/2022 11:56:22.674 AM, 0.0290, -2.9934
       397,   04/29/2022 11:56:22.679 AM, 0.0290, -2.9931
       398,   04/29/2022 11:56:22.684 AM, 0.0290, -2.9934
       399,   04/29/2022 11:56:22.689 AM, 0.0290, -2.9931
       400,   04/29/2022 11:56:22.694 AM, 0.0259, -2.9934
       401,   04/29/2022 11:56:22.699 AM, 0.0259, -2.9934
       402,   04/29/2022 11:56:22.704 AM, 0.0259, -2.9934
       403,   04/29/2022 11:56:22.709 AM, 0.0259, -2.9934
