Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  48000
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, CHANNEL2, Events
       118,   05/25/2022 05:50:06.643 PM, 0.0050, 0.0076, 0.0022
       119,   05/25/2022 05:50:06.644 PM, 0.0041, 0.0046, 0.0022
       120,   05/25/2022 05:50:06.645 PM, 0.0041, 0.0076, 0.0021
       121,   05/25/2022 05:50:06.646 PM, 0.0050, 0.0046, 0.0022
       122,   05/25/2022 05:50:06.647 PM, 0.0041, 0.0046, 0.0022
       123,   05/25/2022 05:50:06.648 PM, 0.0041, -0.0015, 0.0022
       124,   05/25/2022 05:50:06.649 PM, 0.0041, 0.0015, 0.0022
       125,   05/25/2022 05:50:06.650 PM, 0.0041, 0.0015, 0.0022
       126,   05/25/2022 05:50:06.651 PM, 0.0041, 0.0046, 0.0021
       127,   05/25/2022 05:50:06.652 PM, 0.0038, 0.0015, 0.0022
       128,   05/25/2022 05:50:06.653 PM, 0.0041, 0.0015, 0.0021
       129,   05/25/2022 05:50:06.654 PM, 0.0038, 0.0015, 0.0021
       130,   05/25/2022 05:50:06.655 PM, 0.0038, -0.0015, 0.0022
       131,   05/25/2022 05:50:06.656 PM, 0.0038, -0.0015, 0.0022
       132,   05/25/2022 05:50:06.657 PM, 0.0041, -0.0015, 0.0022
       133,   05/25/2022 05:50:06.658 PM, 0.0044, 0.0046, 0.0021
       134,   05/25/2022 05:50:06.659 PM, 0.0041, 0.0015, 0.0022
       135,   05/25/2022 05:50:06.660 PM, 0.0044, 0.0046, 0.0022
       136,   05/25/2022 05:50:06.661 PM, 0.0044, 0.0046, 0.0021
       137,   05/25/2022 05:50:06.662 PM, 0.0044, 0.0046, 0.0021
       138,   05/25/2022 05:50:06.663 PM, 0.0044, 0.0046, 0.0022
       139,   05/25/2022 05:50:06.664 PM, 0.0044, 0.0046, 0.0021
       140,   05/25/2022 05:50:06.665 PM, 0.0044, 0.0076, 0.0021
       141,   05/25/2022 05:50:06.666 PM, 0.0044, 0.0076, 0.0021
       142,   05/25/2022 05:50:06.667 PM, 0.0044, 0.0046, 0.0022
       143,   05/25/2022 05:50:06.668 PM, 0.0041, -0.0015, 0.0022
       144,   05/25/2022 05:50:06.669 PM, 0.0041, 0.0046, 0.0021
       145,   05/25/2022 05:50:06.670 PM, 0.0041, 0.0015, 0.0022
       146,   05/25/2022 05:50:06.671 PM, 0.0044, 0.0015, 0.0021
       147,   05/25/2022 05:50:06.672 PM, 0.0041, 0.0015, 0.0022
       148,   05/25/2022 05:50:06.673 PM, 0.0038, 0.0015, 0.0022
       149,   05/25/2022 05:50:06.674 PM, 0.0041, 0.0015, 0.0022
       150,   05/25/2022 05:50:06.675 PM, 0.0035, -0.0015, 0.0022
       151,   05/25/2022 05:50:06.676 PM, 0.0041, 0.0015, 0.0022
       152,   05/25/2022 05:50:06.677 PM, 0.0041, 0.0046, 0.0021
       153,   05/25/2022 05:50:06.678 PM, 0.0041, 0.0046, 0.0022
       154,   05/25/2022 05:50:06.679 PM, 0.0041, 0.0015, 0.0021
       155,   05/25/2022 05:50:06.680 PM, 0.0044, 0.0015, 0.0021
       156,   05/25/2022 05:50:06.681 PM, 0.0041, 0.0046, 0.0021
       157,   05/25/2022 05:50:06.682 PM, 0.0044, 0.0046, 0.0022
       158,   05/25/2022 05:50:06.683 PM, 0.0041, 0.0046, 0.0022
       159,   05/25/2022 05:50:06.684 PM, 0.0044, 0.0046, 0.0021
       160,   05/25/2022 05:50:06.685 PM, 0.0044, 0.0076, 0.0021
       161,   05/25/2022 05:50:06.686 PM, 0.0044, 0.0046, 0.0022
       162,   05/25/2022 05:50:06.687 PM, 0.0041, 0.0015, 0.0022
       163,   05/25/2022 05:50:06.688 PM, 0.0041, 0.0046, 0.0021
       164,   05/25/2022 05:50:06.689 PM, 0.0044, 0.0046, 0.0022
       165,   05/25/2022 05:50:06.690 PM, 0.0038, 0.0015, 0.0021
       166,   05/25/2022 05:50:06.691 PM, 0.0041, 0.0015, 0.0022
       167,   05/25/2022 05:50:06.692 PM, 0.0041, 0.0015, 0.0021
       168,   05/25/2022 05:50:06.693 PM, 0.0038, 0.0015, 0.0021
       169,   05/25/2022 05:50:06.694 PM, 0.0038, 0.0015, 0.0021
       170,   05/25/2022 05:50:06.695 PM, 0.0038, -0.0015, 0.0022
       171,   05/25/2022 05:50:06.696 PM, 0.0038, 0.0015, 0.0022
       172,   05/25/2022 05:50:06.697 PM, 0.0044, 0.0046, 0.0021
       173,   05/25/2022 05:50:06.698 PM, 0.0044, 0.0046, 0.0021
       174,   05/25/2022 05:50:06.699 PM, 0.0041, 0.0015, 0.0021
       175,   05/25/2022 05:50:06.700 PM, 0.0044, 0.0046, 0.0021
       176,   05/25/2022 05:50:06.701 PM, 0.0044, 0.0015, 0.0021
       177,   05/25/2022 05:50:06.702 PM, 0.0044, 0.0046, 0.0022
       178,   05/25/2022 05:50:06.703 PM, 0.0041, 0.0015, 0.0021
       179,   05/25/2022 05:50:06.704 PM, 0.0044, 0.0046, 0.0022
       180,   05/25/2022 05:50:06.705 PM, 0.0044, 0.0046, 0.0021
       181,   05/25/2022 05:50:06.706 PM, 0.0044, 0.0046, 0.0022
       182,   05/25/2022 05:50:06.707 PM, 0.0041, 0.0046, 0.0021
       183,   05/25/2022 05:50:06.708 PM, 0.0041, 0.0015, 0.0022
       184,   05/25/2022 05:50:06.709 PM, 0.0041, 0.0046, 0.0022
       185,   05/25/2022 05:50:06.710 PM, 0.0038, -0.0015, 0.0022
       186,   05/25/2022 05:50:06.711 PM, 0.0041, 0.0046, 0.0022
       187,   05/25/2022 05:50:06.712 PM, 0.0038, 0.0015, 0.0022
       188,   05/25/2022 05:50:06.713 PM, 0.0041, -0.0015, 0.0021
       189,   05/25/2022 05:50:06.714 PM, 0.0038, -0.0046, 0.0021
       190,   05/25/2022 05:50:06.715 PM, 0.0038, 0.0015, 0.0021
       191,   05/25/2022 05:50:06.716 PM, 0.0038, 0.0015, 0.0021
       192,   05/25/2022 05:50:06.717 PM, 0.0041, 0.0015, 0.0021
       193,   05/25/2022 05:50:06.718 PM, 0.0041, 0.0015, 0.0022
       194,   05/25/2022 05:50:06.719 PM, 0.0044, 0.0015, 0.0022
       195,   05/25/2022 05:50:06.720 PM, 0.0044, 0.0046, 0.0022
