Header Size:  7
Version:  2
Sampling Interval:  0.001
Sampling Rate:  1000
Sample Count:  51900
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, CHANNEL1, CHANNEL2, Events
       101,   05/25/2022 05:48:06.192 PM, 0.0056, -0.0015, 0.0021
       102,   05/25/2022 05:48:06.193 PM, 0.0053, -0.0015, 0.0022
       103,   05/25/2022 05:48:06.194 PM, 0.0050, -0.0046, 0.0022
       104,   05/25/2022 05:48:06.195 PM, 0.0050, -0.0107, 0.0022
       105,   05/25/2022 05:48:06.196 PM, 0.0044, -0.0107, 0.0022
       106,   05/25/2022 05:48:06.197 PM, 0.0044, -0.0107, 0.0022
       107,   05/25/2022 05:48:06.198 PM, 0.0044, -0.0046, 0.0022
       108,   05/25/2022 05:48:06.199 PM, 0.0050, -0.0046, 0.0022
       109,   05/25/2022 05:48:06.200 PM, 0.0050, -0.0107, 0.0022
       110,   05/25/2022 05:48:06.201 PM, 0.0044, -0.0107, 0.0022
       111,   05/25/2022 05:48:06.202 PM, 0.0044, -0.0107, 0.0022
       112,   05/25/2022 05:48:06.203 PM, 0.0044, -0.0107, 0.0022
       113,   05/25/2022 05:48:06.204 PM, 0.0053, -0.0046, 0.0022
       114,   05/25/2022 05:48:06.205 PM, 0.0050, -0.0046, 0.0021
       115,   05/25/2022 05:48:06.206 PM, 0.0050, -0.0046, 0.0021
       116,   05/25/2022 05:48:06.207 PM, 0.0053, -0.0015, 0.0022
       117,   05/25/2022 05:48:06.208 PM, 0.0053, -0.0015, 0.0022
       118,   05/25/2022 05:48:06.209 PM, 0.0053, -0.0015, 0.0021
       119,   05/25/2022 05:48:06.210 PM, 0.0050, -0.0015, 0.0021
       120,   05/25/2022 05:48:06.211 PM, 0.0056, -0.0015, 0.0021
       121,   05/25/2022 05:48:06.212 PM, 0.0053, -0.0015, 0.0022
       122,   05/25/2022 05:48:06.213 PM, 0.0053, -0.0015, 0.0021
       123,   05/25/2022 05:48:06.214 PM, 0.0044, -0.0046, 0.0022
       124,   05/25/2022 05:48:06.215 PM, 0.0050, -0.0015, 0.0022
       125,   05/25/2022 05:48:06.216 PM, 0.0050, -0.0107, 0.0021
       126,   05/25/2022 05:48:06.217 PM, 0.0044, -0.0107, 0.0022
       127,   05/25/2022 05:48:06.218 PM, 0.0050, -0.0046, 0.0021
       128,   05/25/2022 05:48:06.219 PM, 0.0050, -0.0107, 0.0022
       129,   05/25/2022 05:48:06.220 PM, 0.0044, -0.0046, 0.0022
       130,   05/25/2022 05:48:06.221 PM, 0.0041, -0.0137, 0.0022
       131,   05/25/2022 05:48:06.222 PM, 0.0050, -0.0107, 0.0022
       132,   05/25/2022 05:48:06.223 PM, 0.0044, -0.0107, 0.0021
       133,   05/25/2022 05:48:06.224 PM, 0.0050, -0.0015, 0.0021
       134,   05/25/2022 05:48:06.225 PM, 0.0050, -0.0015, 0.0022
       135,   05/25/2022 05:48:06.226 PM, 0.0050, -0.0046, 0.0022
       136,   05/25/2022 05:48:06.227 PM, 0.0050, -0.0046, 0.0022
       137,   05/25/2022 05:48:06.228 PM, 0.0053, -0.0015, 0.0022
       138,   05/25/2022 05:48:06.229 PM, 0.0050, -0.0015, 0.0021
       139,   05/25/2022 05:48:06.230 PM, 0.0050, -0.0015, 0.0021
       140,   05/25/2022 05:48:06.231 PM, 0.0050, -0.0046, 0.0022
       141,   05/25/2022 05:48:06.232 PM, 0.0050, -0.0046, 0.0022
       142,   05/25/2022 05:48:06.233 PM, 0.0050, -0.0046, 0.0022
       143,   05/25/2022 05:48:06.234 PM, 0.0050, -0.0046, 0.0021
       144,   05/25/2022 05:48:06.235 PM, 0.0050, -0.0046, 0.0022
       145,   05/25/2022 05:48:06.236 PM, 0.0050, -0.0107, 0.0022
       146,   05/25/2022 05:48:06.237 PM, 0.0050, -0.0107, 0.0022
       147,   05/25/2022 05:48:06.238 PM, 0.0041, -0.0107, 0.0022
       148,   05/25/2022 05:48:06.239 PM, 0.0044, -0.0107, 0.0022
       149,   05/25/2022 05:48:06.240 PM, 0.0044, -0.0107, 0.0022
       150,   05/25/2022 05:48:06.241 PM, 0.0044, -0.0107, 0.0021
       151,   05/25/2022 05:48:06.242 PM, 0.0050, -0.0107, 0.0021
       152,   05/25/2022 05:48:06.243 PM, 0.0044, -0.0046, 0.0022
       153,   05/25/2022 05:48:06.244 PM, 0.0053, -0.0046, 0.0022
       154,   05/25/2022 05:48:06.245 PM, 0.0050, -0.0046, 0.0022
       155,   05/25/2022 05:48:06.246 PM, 0.0050, -0.0046, 0.0022
       156,   05/25/2022 05:48:06.247 PM, 0.0050, -0.0046, 0.0022
       157,   05/25/2022 05:48:06.248 PM, 0.0050, -0.0015, 0.0021
       158,   05/25/2022 05:48:06.249 PM, 0.0053, -0.0015, 0.0022
       159,   05/25/2022 05:48:06.250 PM, 0.0053, -0.0015, 0.0021
       160,   05/25/2022 05:48:06.251 PM, 0.0050, -0.0015, 0.0021
       161,   05/25/2022 05:48:06.252 PM, 0.0050, -0.0015, 0.0022
       162,   05/25/2022 05:48:06.253 PM, 0.0050, -0.0046, 0.0021
       163,   05/25/2022 05:48:06.254 PM, 0.0044, -0.0046, 0.0022
       164,   05/25/2022 05:48:06.255 PM, 0.0050, -0.0107, 0.0022
       165,   05/25/2022 05:48:06.256 PM, 0.0041, -0.0107, 0.0022
       166,   05/25/2022 05:48:06.257 PM, 0.0044, -0.0107, 0.0022
       167,   05/25/2022 05:48:06.258 PM, 0.0044, -0.0107, 0.0021
       168,   05/25/2022 05:48:06.259 PM, 0.0050, -0.0107, 0.0022
       169,   05/25/2022 05:48:06.260 PM, 0.0050, -0.0107, 0.0021
       170,   05/25/2022 05:48:06.261 PM, 0.0044, -0.0137, 0.0022
       171,   05/25/2022 05:48:06.262 PM, 0.0050, -0.0046, 0.0021
       172,   05/25/2022 05:48:06.263 PM, 0.0044, -0.0107, 0.0021
       173,   05/25/2022 05:48:06.264 PM, 0.0050, -0.0046, 0.0022
       174,   05/25/2022 05:48:06.265 PM, 0.0050, -0.0015, 0.0021
       175,   05/25/2022 05:48:06.266 PM, 0.0050, -0.0046, 0.0021
       176,   05/25/2022 05:48:06.267 PM, 0.0050, -0.0046, 0.0021
       177,   05/25/2022 05:48:06.268 PM, 0.0053, -0.0015, 0.0021
       178,   05/25/2022 05:48:06.269 PM, 0.0050, -0.0015, 0.0022
       179,   05/25/2022 05:48:06.270 PM, 0.0050, -0.0046, 0.0021
       180,   05/25/2022 05:48:06.271 PM, 0.0050, -0.0046, 0.0021
       181,   05/25/2022 05:48:06.272 PM, 0.0050, -0.0046, 0.0021
       182,   05/25/2022 05:48:06.273 PM, 0.0050, -0.0015, 0.0021
       183,   05/25/2022 05:48:06.274 PM, 0.0044, -0.0107, 0.0022
       184,   05/25/2022 05:48:06.275 PM, 0.0044, -0.0107, 0.0022
       185,   05/25/2022 05:48:06.276 PM, 0.0050, -0.0107, 0.0022
       186,   05/25/2022 05:48:06.277 PM, 0.0044, -0.0046, 0.0022
       187,   05/25/2022 05:48:06.278 PM, 0.0050, -0.0107, 0.0021
       188,   05/25/2022 05:48:06.279 PM, 0.0050, -0.0107, 0.0022
       189,   05/25/2022 05:48:06.280 PM, 0.0050, -0.0137, 0.0021
       190,   05/25/2022 05:48:06.281 PM, 0.0044, -0.0137, 0.0022
       191,   05/25/2022 05:48:06.282 PM, 0.0050, -0.0107, 0.0021
       192,   05/25/2022 05:48:06.283 PM, 0.0044, -0.0107, 0.0021
       193,   05/25/2022 05:48:06.284 PM, 0.0053, -0.0015, 0.0021
       194,   05/25/2022 05:48:06.285 PM, 0.0053, -0.0046, 0.0022
       195,   05/25/2022 05:48:06.286 PM, 0.0050, -0.0015, 0.0022
       196,   05/25/2022 05:48:06.287 PM, 0.0050, -0.0046, 0.0021
       197,   05/25/2022 05:48:06.288 PM, 0.0050, -0.0015, 0.0022
       198,   05/25/2022 05:48:06.289 PM, 0.0050, -0.0046, 0.0022
       199,   05/25/2022 05:48:06.290 PM, 0.0050, -0.0046, 0.0022
       200,   05/25/2022 05:48:06.291 PM, 0.0053, -0.0015, 0.0022
       201,   05/25/2022 05:48:06.292 PM, 0.0050, -0.0015, 0.0021
       202,   05/25/2022 05:48:06.293 PM, 0.0050, -0.0046, 0.0021
       203,   05/25/2022 05:48:06.294 PM, 0.0044, -0.0107, 0.0021
       204,   05/25/2022 05:48:06.295 PM, 0.0044, -0.0107, 0.0022
       205,   05/25/2022 05:48:06.296 PM, 0.0044, -0.0107, 0.0022
       206,   05/25/2022 05:48:06.297 PM, 0.0044, -0.0015, 0.0021
       207,   05/25/2022 05:48:06.298 PM, 0.0044, -0.0107, 0.0022
       208,   05/25/2022 05:48:06.299 PM, 0.0044, -0.0046, 0.0022
       209,   05/25/2022 05:48:06.300 PM, 0.0044, -0.0046, 0.0022
       210,   05/25/2022 05:48:06.301 PM, 0.0044, -0.0107, 0.0021
       211,   05/25/2022 05:48:06.302 PM, 0.0044, -0.0107, 0.0022
       212,   05/25/2022 05:48:06.303 PM, 0.0044, -0.0107, 0.0022
       213,   05/25/2022 05:48:06.304 PM, 0.0053, -0.0015, 0.0021
       214,   05/25/2022 05:48:06.305 PM, 0.0053, -0.0015, 0.0022
       215,   05/25/2022 05:48:06.306 PM, 0.0053, -0.0015, 0.0022
       216,   05/25/2022 05:48:06.307 PM, 0.0050, -0.0046, 0.0021
       217,   05/25/2022 05:48:06.308 PM, 0.0050, -0.0015, 0.0021
       218,   05/25/2022 05:48:06.309 PM, 0.0050, -0.0015, 0.0022
       219,   05/25/2022 05:48:06.310 PM, 0.0050, -0.0046, 0.0021
       220,   05/25/2022 05:48:06.311 PM, 0.0050, -0.0015, 0.0022
       221,   05/25/2022 05:48:06.312 PM, 0.0050, -0.0015, 0.0021
       222,   05/25/2022 05:48:06.313 PM, 0.0050, -0.0015, 0.0022
       223,   05/25/2022 05:48:06.314 PM, 0.0044, -0.0137, 0.0022
       224,   05/25/2022 05:48:06.315 PM, 0.0044, -0.0107, 0.0022
       225,   05/25/2022 05:48:06.316 PM, 0.0044, -0.0137, 0.0022
       226,   05/25/2022 05:48:06.317 PM, 0.0050, -0.0107, 0.0021
       227,   05/25/2022 05:48:06.318 PM, 0.0044, -0.0107, 0.0022
       228,   05/25/2022 05:48:06.319 PM, 0.0044, -0.0046, 0.0022
       229,   05/25/2022 05:48:06.320 PM, 0.0050, -0.0107, 0.0022
       230,   05/25/2022 05:48:06.321 PM, 0.0050, -0.0046, 0.0021
       231,   05/25/2022 05:48:06.322 PM, 0.0044, -0.0046, 0.0021
       232,   05/25/2022 05:48:06.323 PM, 0.0050, -0.0107, 0.0021
       233,   05/25/2022 05:48:06.324 PM, 0.0053, -0.0015, 0.0021
       234,   05/25/2022 05:48:06.325 PM, 0.0050, -0.0046, 0.0022
       235,   05/25/2022 05:48:06.326 PM, 0.0053, -0.0015, 0.0021
       236,   05/25/2022 05:48:06.327 PM, 0.0050, -0.0015, 0.0022
       237,   05/25/2022 05:48:06.328 PM, 0.0050, -0.0015, 0.0021
       238,   05/25/2022 05:48:06.329 PM, 0.0053, -0.0046, 0.0021
       239,   05/25/2022 05:48:06.330 PM, 0.0044, -0.0046, 0.0021
       240,   05/25/2022 05:48:06.331 PM, 0.0050, -0.0015, 0.0021
       241,   05/25/2022 05:48:06.332 PM, 0.0053, -0.0015, 0.0021
